GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison,-log10(padj),ann
TLL2,10.3718315319538,0.239499245886448,0.669679094394335,0.357632854140466,0.720618088265455,0.87027610185949,M_vs_G,0.0603429422194333,Not significant
PTEN-2,20.4186578019875,-0.174660747637394,0.488407173734188,-0.357612985702074,0.720632958983287,0.87027610185949,M_vs_G,0.0603429422194333,Not significant
PRRT3,21.687086483109,-0.193889629128299,0.542287049593918,-0.357540585329281,0.720687148610855,0.870276863687409,M_vs_G,0.0603425620440887,Not significant
MED21,474.697585493748,0.0782875750226777,0.219016308024014,0.357450893629773,0.720754282251808,0.870293254983253,M_vs_G,0.0603343823686366,Not significant
TAP2-6,11.0428874704022,0.321329587623069,0.899219867066896,0.357342624859026,0.720835323574303,0.870326435782349,M_vs_G,0.0603178247736253,Not significant
LINC02713,6.50458703391606,-0.373505849855642,1.04566449708064,-0.35719473205643,0.720946029337172,0.870395425417914,M_vs_G,0.0602834001837834,Not significant
GAU1,15.8903854084283,-0.248643155533638,0.696556463752188,-0.356960517162176,0.721121363819247,0.870533919586438,M_vs_G,0.0602143023154925,Not significant
CCNT1,806.831692181653,0.0755831126197836,0.211777693033782,0.35689836609811,0.72116789288898,0.870533919586438,M_vs_G,0.0602143023154925,Not significant
GPRC6A,4.70968749947299,-0.437087283818842,1.22532209259414,-0.356712154673944,0.721307305277741,0.87063752811306,M_vs_G,0.0601626168694638,Not significant
SYNCRIP,1329.79337823884,-0.0644224200061662,0.18066753469906,-0.356579947324101,0.721406291628166,0.870692329545129,M_vs_G,0.0601352814861634,Not significant
ITPR1,3525.07988073347,0.068974594639226,0.193504424132731,0.356449703661112,0.721503812289153,0.870745353972553,M_vs_G,0.0601088341243526,Not significant
TTTY15,192.717341748781,-0.111263841757053,0.312212386010299,-0.356372286118663,0.721561781246555,0.870750641179002,M_vs_G,0.060106197075985,Not significant
C11orf58,3631.48756643508,-0.0572918239331398,0.16087711635071,-0.356121648825706,0.721749465217026,0.870830026839744,M_vs_G,0.06006660458962,Not significant
GPR153,6.77718181001763,-0.386070782558931,1.08417704314617,-0.356095699498113,0.72176889773119,0.870830026839744,M_vs_G,0.06006660458962,Not significant
